post_id,post_title,_search_title,post_status,post_tags,post_category,default_category,featured,featured_image,submit_ip,overall_rating,rating_count,street,street2,city,region,country,zip,latitude,longitude,mapview,mapzoom,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_dummy,phone,email,website,facebook
6112,TOUS AVEC AGOSTI / MAISON DES FAMILLES PAYS BASQUE,tous avec agosti / maison des familles pays basque,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.06551590608512,-1.099017115673648,,,814306304,TOUS AVEC AGOSTI / MAISON DES FAMILLES PAYS BASQUE,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6113,EUSKAL HERRIA SURETE,euskal herria surete,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.34530047491559,-1.409298101154847,,,839328846,EUSKAL HERRIA SURETE,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6114,IOLATEGI,iolategi,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.40849220178286,-1.5718885423027205,,,883320079,IOLATEGI,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6115,T-AKA,t aka,publish,,,,"0",,127.0.0.1,"0","0",,,AHETZE,Nouvelle-Aquitaine,France,64210,43.28206140102423,-1.1797549113479273,,,890313190,T-AKA,ASSOCIATIONS,Nive-Nivelle,SUD PAYS BASQUE,UTD Labourd,,,"0",,,,
6116,CLEVACANCES PYRENEES ATLANTIQUES,clevacances pyrenees atlantiques,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.35724705027193,-1.6814616376779807,,,390100923,CLEVACANCES PYRENEES ATLANTIQUES,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6117,ARTIZAR,artizar,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.22586539921432,-1.3378305267641508,,,391915378,ARTIZAR,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6118,U.S. SAINT PALAIS AMIKUZE FOOTBALL,u.s. saint palais amikuze football,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.21643414185477,-1.0756542186708475,,,448149443,U.S. SAINT PALAIS AMIKUZE FOOTBALL,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6119,PRODUITS TERROIRS DU SUD OUEST,produits terroirs du sud ouest,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.242733383222415,-1.3153053394402572,,,453078255,PRODUITS TERROIRS DU SUD OUEST,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6120,ASS-MAT 64 LAUEN HAIZAMAK,ass mat 64 lauen haizamak,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.443068343923024,-1.5187907801832918,,,481094241,ASS-MAT 64 LAUEN HAIZAMAK,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6121,ESKUALDUNA ASSOCIATION BASQ 76,eskualduna association basq 76,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.3762822933871,-1.7637381680745283,,,784314023,ESKUALDUNA ASSOCIATION BASQ 76,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
